Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  11",-4.374102410803e+01,-1.859060052923e+02,5.540776966065e+00,-4.530471707072e+01,-1.857121012907e+02,5.530938393706e+00,-1.563692962698e+00,1.939040016228e-01,-9.838572358815e-03
"                  12",-4.811199582414e+01,-1.866989469260e+02,5.866713616125e+00,-4.968856843567e+01,-1.865044120137e+02,5.856295559854e+00,-1.576572611529e+00,1.945349123130e-01,-1.041805627084e-02
"                  13",-5.725269373239e+01,-2.022228319945e+02,6.609988706151e+00,-5.883940261262e+01,-2.020297524062e+02,6.599623155826e+00,-1.586708880236e+00,1.930795883364e-01,-1.036555032433e-02
"                  14",-6.014690244841e+01,-2.150279931902e+02,7.027145811541e+00,-6.173707428637e+01,-2.148355673782e+02,7.016565020794e+00,-1.590171837960e+00,1.924258119640e-01,-1.058079074706e-02
"                  15",-5.558579810023e+01,-2.178995321142e+02,6.843211981599e+00,-5.718211488241e+01,-2.177064362400e+02,6.832224804033e+00,-1.596316782172e+00,1.930958742261e-01,-1.098717756600e-02
"                  16",-4.976372511458e+01,-2.145487553430e+02,6.374829584404e+00,-5.136253275707e+01,-2.143536338792e+02,6.363225696778e+00,-1.598807642482e+00,1.951214637865e-01,-1.160388762649e-02
"                  17",-4.749106890054e+01,-2.115880537669e+02,6.069941517816e+00,-4.909688295332e+01,-2.113896358074e+02,6.057605039168e+00,-1.605814052789e+00,1.984179595536e-01,-1.233647864778e-02
"                  18",-4.889369577870e+01,-2.129044313880e+02,6.102620660147e+00,-5.050594543211e+01,-2.127053388004e+02,6.089413736122e+00,-1.612249653415e+00,1.990925875459e-01,-1.320692402527e-02
"                  19",-5.113094584234e+01,-2.176409046507e+02,6.264574421961e+00,-5.274637121171e+01,-2.174431731885e+02,6.250830645953e+00,-1.615425369378e+00,1.977314621762e-01,-1.374377600776e-02
"                  20",-5.183330721117e+01,-2.226200094330e+02,6.263310524362e+00,-5.345048434119e+01,-2.224243531964e+02,6.248633363122e+00,-1.617177130020e+00,1.956562365786e-01,-1.467716123970e-02
"                  21",-5.105540666900e+01,-2.259121929378e+02,6.015654834730e+00,-5.267771418932e+01,-2.257186801750e+02,6.000072357563e+00,-1.622307520315e+00,1.935127627740e-01,-1.558247716768e-02
"                  22",-5.004274316796e+01,-2.274905817225e+02,5.663214196949e+00,-5.167250683187e+01,-2.272965276184e+02,5.646623662654e+00,-1.629763663913e+00,1.940541040731e-01,-1.659053429574e-02
"                  23",-4.972835086809e+01,-2.285333125515e+02,5.429400108536e+00,-5.136441419605e+01,-2.283367353721e+02,5.411042081495e+00,-1.636063327965e+00,1.965771793511e-01,-1.835802704123e-02
"                  24",-5.006809227145e+01,-2.302207197205e+02,5.414651109921e+00,-5.170861538249e+01,-2.300220657240e+02,5.395925353838e+00,-1.640523111044e+00,1.986539965021e-01,-1.872575608296e-02
"                  25",-5.052516896100e+01,-2.326052754934e+02,5.533404570017e+00,-5.216983438351e+01,-2.324061489687e+02,5.513844749232e+00,-1.644665422509e+00,1.991265246602e-01,-1.955982078438e-02
"                  26",-5.072558722038e+01,-2.353119623907e+02,5.630646885931e+00,-5.237358901682e+01,-2.351124456512e+02,5.610281586461e+00,-1.648001796438e+00,1.995167394468e-01,-2.036529946980e-02
"                  27",-5.066769941584e+01,-2.377800443136e+02,5.622711032540e+00,-5.231879013582e+01,-2.375805328555e+02,5.601552287573e+00,-1.651090719985e+00,1.995114581567e-01,-2.115874496752e-02
"                  28",-5.039200771039e+01,-2.395628034151e+02,5.560879970493e+00,-5.204925328555e+01,-2.393642230000e+02,5.538325312864e+00,-1.657245575168e+00,1.985804150433e-01,-2.255465762882e-02
"                  29",-5.024864675465e+01,-2.410376698987e+02,5.559499238312e+00,-5.190588774843e+01,-2.408391709202e+02,5.536593262177e+00,-1.657240993780e+00,1.984989784920e-01,-2.290597613456e-02
"                  30",-5.036651067278e+01,-2.425281945822e+02,5.673600836643e+00,-5.203061842898e+01,-2.423296987089e+02,5.649550579341e+00,-1.664107756206e+00,1.984958733206e-01,-2.405025730225e-02
"                  31",-5.053812395402e+01,-2.440362333494e+02,5.866560431248e+00,-5.220205930676e+01,-2.438380432256e+02,5.842281820848e+00,-1.663935352740e+00,1.981901238109e-01,-2.427861039961e-02
"                  32",-5.058660829414e+01,-2.454438147577e+02,6.079107266292e+00,-5.225200432060e+01,-2.452458820199e+02,6.054636535040e+00,-1.665396026460e+00,1.979327378175e-01,-2.447073125168e-02
"                  33",-5.050994882314e+01,-2.467534548369e+02,6.260697963026e+00,-5.217658751554e+01,-2.465557565564e+02,6.235893865609e+00,-1.666638692406e+00,1.976982805072e-01,-2.480409741719e-02
"                  34",-5.035475361436e+01,-2.479548576597e+02,6.393190560493e+00,-5.202277386241e+01,-2.477573029508e+02,6.367902265627e+00,-1.668020248045e+00,1.975547089004e-01,-2.528829486593e-02
"                  35",-5.019601564519e+01,-2.490054552643e+02,6.498403317264e+00,-5.186428111284e+01,-2.488088238290e+02,6.473056576214e+00,-1.668265467650e+00,1.966314352857e-01,-2.534674104998e-02
"                  36",-5.007135372102e+01,-2.499464658120e+02,6.609474147419e+00,-5.173987213019e+01,-2.497511072885e+02,6.583983233641e+00,-1.668518409175e+00,1.953585234393e-01,-2.549091377889e-02
"                  37",-5.001705901403e+01,-2.507671029484e+02,6.720837782642e+00,-5.168679121409e+01,-2.505730551002e+02,6.694856123520e+00,-1.669732200062e+00,1.940478482165e-01,-2.598165912221e-02
"                  38",-5.001377014443e+01,-2.515885006352e+02,6.816504773890e+00,-5.168475040998e+01,-2.513957260605e+02,6.790724599904e+00,-1.670980265550e+00,1.927745746140e-01,-2.578017398551e-02
"                  39",-4.997723631677e+01,-2.523735516526e+02,6.893275926319e+00,-5.164909077545e+01,-2.521816581507e+02,6.867602136279e+00,-1.671854458678e+00,1.918935018343e-01,-2.567379003994e-02
"                  40",-4.986462958009e+01,-2.531297068414e+02,6.969035850879e+00,-5.153770254047e+01,-2.529385624506e+02,6.943435846964e+00,-1.673072960381e+00,1.911443908473e-01,-2.560000391492e-02
"                  41",-4.969319674975e+01,-2.538158909485e+02,7.040887503881e+00,-5.136774006135e+01,-2.536253113429e+02,7.015348992486e+00,-1.674543311598e+00,1.905796055850e-01,-2.553851139452e-02
"                  42",-4.954150916445e+01,-2.544333359877e+02,7.091321259742e+00,-5.121775374002e+01,-2.542431478509e+02,7.065816739112e+00,-1.676244575569e+00,1.901881367763e-01,-2.550452063020e-02
"                  43",-4.948164003578e+01,-2.550357949365e+02,7.108064538705e+00,-5.115981303577e+01,-2.548458008456e+02,7.082554112612e+00,-1.678172999988e+00,1.899940908616e-01,-2.551042609310e-02
"                  44",-4.947358807473e+01,-2.556257119187e+02,7.110588690688e+00,-5.115392538772e+01,-2.554358330551e+02,7.085021242589e+00,-1.680337312990e+00,1.898788635486e-01,-2.556744809954e-02
"                  45",-4.943305672445e+01,-2.561522946725e+02,7.111594227332e+00,-5.111581825069e+01,-2.559626161724e+02,7.085941108875e+00,-1.682761526240e+00,1.896785001632e-01,-2.565311845714e-02
"                  46",-4.932455059220e+01,-2.565741337820e+02,7.121664549316e+00,-5.101099762528e+01,-2.563847640634e+02,7.095851223152e+00,-1.686447033082e+00,1.893697186235e-01,-2.581332616363e-02
"                  47",-4.917448726185e+01,-2.569074118284e+02,7.112583122989e+00,-5.086278277394e+01,-2.567181214032e+02,7.086715490069e+00,-1.688295512090e+00,1.892904251765e-01,-2.586763291954e-02
"                  48",-4.903923428388e+01,-2.571556920641e+02,7.068538752947e+00,-5.072996846412e+01,-2.569666624673e+02,7.042578502974e+00,-1.690734180232e+00,1.890295967779e-01,-2.596024997351e-02
"                  49",-4.894890676736e+01,-2.573282304055e+02,7.001945783212e+00,-5.064205098755e+01,-2.571392908704e+02,6.975947466320e+00,-1.693144220190e+00,1.889395350998e-01,-2.599831689130e-02
"                  50",-4.888546489797e+01,-2.574413233004e+02,6.945601726896e+00,-5.058060124061e+01,-2.572522844806e+02,6.919694654390e+00,-1.695136342646e+00,1.890388198267e-01,-2.590707250542e-02
"                  51",-4.881947075231e+01,-2.575263239828e+02,6.910467614934e+00,-5.051759038569e+01,-2.573373603142e+02,6.884590118328e+00,-1.698119633386e+00,1.889636686166e-01,-2.587749660602e-02
"                  52",-4.873216031941e+01,-2.575662561624e+02,6.901900299656e+00,-5.043257322878e+01,-2.573773190388e+02,6.876155743613e+00,-1.700412909370e+00,1.889371236647e-01,-2.574455604297e-02
"                  53",-4.862820087777e+01,-2.575637762852e+02,6.893122176265e+00,-5.033091171896e+01,-2.573748052721e+02,6.867558660988e+00,-1.702710841197e+00,1.889710131509e-01,-2.556351527712e-02
"                  54",-4.851907513627e+01,-2.574933624953e+02,6.863556555253e+00,-5.022463019681e+01,-2.573045675442e+02,6.838095199969e+00,-1.705555060534e+00,1.887949511557e-01,-2.546135528359e-02
"                  55",-4.841633929183e+01,-2.573405299655e+02,6.823807615114e+00,-5.012455046195e+01,-2.571515599436e+02,6.798506913024e+00,-1.708211170124e+00,1.889700219001e-01,-2.530070209045e-02
"                  56",-4.832770635510e+01,-2.571328048888e+02,6.806384680863e+00,-5.003895325138e+01,-2.569438038833e+02,6.781685645010e+00,-1.711246896283e+00,1.890010054998e-01,-2.469903585347e-02
"                  57",-4.825999687937e+01,-2.569273003477e+02,6.806814748432e+00,-4.997572284089e+01,-2.567378282382e+02,6.781932335381e+00,-1.715725961519e+00,1.894721095360e-01,-2.488241305077e-02
"                  58",-4.820289699876e+01,-2.567369272473e+02,6.804927935096e+00,-4.991970485979e+01,-2.565479040115e+02,6.780206289358e+00,-1.716807861027e+00,1.890232357390e-01,-2.472164573811e-02
"                  59",-4.815047863504e+01,-2.565571785758e+02,6.789657421943e+00,-4.986949622760e+01,-2.563682187911e+02,6.765023468307e+00,-1.719017592561e+00,1.889597846981e-01,-2.463395363689e-02
"                  60",-4.811490380146e+01,-2.563975114631e+02,6.780580490479e+00,-4.983570995018e+01,-2.562085724427e+02,6.756128094812e+00,-1.720806148729e+00,1.889390203725e-01,-2.445239566656e-02
"                  61",-4.809863355603e+01,-2.562345902495e+02,6.794913124553e+00,-4.982171360699e+01,-2.560456865113e+02,6.770601947839e+00,-1.723080050959e+00,1.889037381801e-01,-2.431117671455e-02
"                  62",-4.809827202557e+01,-2.560612536457e+02,6.830378147880e+00,-4.982390281103e+01,-2.558724355317e+02,6.806186398615e+00,-1.725630785463e+00,1.888181139780e-01,-2.419174926466e-02
"                  63",-4.810472433937e+01,-2.558793747389e+02,6.877274057568e+00,-4.983205938264e+01,-2.556906210838e+02,6.853447287533e+00,-1.727335043266e+00,1.887536550234e-01,-2.382677003471e-02
"                  64",-4.810944285447e+01,-2.556828233319e+02,6.918653231782e+00,-4.983944505820e+01,-2.554943733945e+02,6.894761641910e+00,-1.730002203726e+00,1.884499373364e-01,-2.389158987295e-02
"                  65",-4.811082427634e+01,-2.554555983094e+02,6.949815569778e+00,-4.984206589641e+01,-2.552672956557e+02,6.926148748726e+00,-1.731241620076e+00,1.883026537136e-01,-2.366682105132e-02
"                  66",-4.812087287004e+01,-2.552130354845e+02,6.990184752915e+00,-4.985391502870e+01,-2.550249357516e+02,6.966838426328e+00,-1.733042158664e+00,1.880997328522e-01,-2.334632658699e-02
"                  67",-4.814013706265e+01,-2.549513198914e+02,7.039050163550e+00,-4.987500462469e+01,-2.547635019943e+02,7.015764659763e+00,-1.734867562046e+00,1.878178970769e-01,-2.328550378667e-02
"                  68",-4.816620074230e+01,-2.546671022178e+02,7.090609219116e+00,-4.990298519328e+01,-2.544795606869e+02,7.067456529039e+00,-1.736784450983e+00,1.875415309226e-01,-2.315269007746e-02
"                  69",-4.819586209560e+01,-2.543541694143e+02,7.143016649836e+00,-4.993469393868e+01,-2.541670370709e+02,7.120257719797e+00,-1.738831843085e+00,1.871323433661e-01,-2.275893003935e-02
"                  70",-4.821492275039e+01,-2.539576237326e+02,7.181418342325e+00,-4.995549420557e+01,-2.537707741968e+02,7.158914143300e+00,-1.740571455178e+00,1.868495357422e-01,-2.250419902481e-02
"                  71",-4.820859848003e+01,-2.534170858892e+02,7.214075431461e+00,-4.995084424704e+01,-2.532305975726e+02,7.191227579547e+00,-1.742245767004e+00,1.864883165724e-01,-2.284785191380e-02
"                  72",-4.818984873649e+01,-2.527666165001e+02,7.241521990669e+00,-4.993344179993e+01,-2.525805256253e+02,7.219184575545e+00,-1.743593063438e+00,1.860908748183e-01,-2.233741512437e-02
"                  73",-4.817104490167e+01,-2.520454095444e+02,7.277255416328e+00,-4.991616785424e+01,-2.518595836443e+02,7.255174869869e+00,-1.745122952576e+00,1.858259000711e-01,-2.208054645884e-02
"                  74",-4.815707382736e+01,-2.512675503448e+02,7.331151507312e+00,-4.990371665069e+01,-2.510820519311e+02,7.309296211976e+00,-1.746642823323e+00,1.854984137516e-01,-2.185529533585e-02
"                  75",-4.813672284713e+01,-2.503960289339e+02,7.400248649331e+00,-4.988476126323e+01,-2.502108411941e+02,7.378639379428e+00,-1.748038416103e+00,1.851877397779e-01,-2.160926990238e-02
"                  76",-4.810378200266e+01,-2.494050036111e+02,7.470103016352e+00,-4.985340840869e+01,-2.492200692424e+02,7.448642009127e+00,-1.749626406034e+00,1.849343687418e-01,-2.146100722477e-02
"                  77",-4.806923258130e+01,-2.483453044056e+02,7.530347276290e+00,-4.982064197926e+01,-2.481605616047e+02,7.509159075972e+00,-1.751409397963e+00,1.847428009246e-01,-2.118820031839e-02
"                  78",-4.803865609793e+01,-2.472448698158e+02,7.584256466994e+00,-4.979106647962e+01,-2.470602317998e+02,7.563461900846e+00,-1.752410381687e+00,1.846380159895e-01,-2.079456614792e-02
"                  79",-4.800698035609e+01,-2.460832705729e+02,7.635115940100e+00,-4.976110113047e+01,-2.458985399587e+02,7.614447431225e+00,-1.754120774387e+00,1.847306141323e-01,-2.066850887523e-02
"                  80",-4.797154675997e+01,-2.448533289342e+02,7.696216606590e+00,-4.972757104936e+01,-2.446685282029e+02,7.675734642027e+00,-1.756024289391e+00,1.848007312343e-01,-2.048196456293e-02
"                  81",-4.791715710485e+01,-2.434991031751e+02,7.777606682794e+00,-4.967500118514e+01,-2.433141264650e+02,7.757279781849e+00,-1.757844080291e+00,1.849767101065e-01,-2.032690094502e-02
"                  82",-4.784475950316e+01,-2.420337121736e+02,7.871680229670e+00,-4.960441004949e+01,-2.418487140865e+02,7.851587352383e+00,-1.759650546335e+00,1.849980870329e-01,-2.009287728774e-02
"                  83",-4.776346382195e+01,-2.404963477710e+02,7.985663452770e+00,-4.952507848827e+01,-2.403111454901e+02,7.965786493541e+00,-1.761614666317e+00,1.852022808921e-01,-1.987695922938e-02
"                  84",-4.767664127756e+01,-2.389221938997e+02,8.100157769328e+00,-4.944012840893e+01,-2.387367652029e+02,8.080372504762e+00,-1.763487131371e+00,1.854286968125e-01,-1.978526456626e-02
"                  85",-4.758844563802e+01,-2.373446782257e+02,8.200358868801e+00,-4.935392680040e+01,-2.371589778946e+02,8.180722415974e+00,-1.765481162378e+00,1.857003311161e-01,-1.963645282633e-02
"                  86",-4.748751580996e+01,-2.357322874939e+02,8.276246449234e+00,-4.925491394824e+01,-2.355460479188e+02,8.256681524838e+00,-1.767398138273e+00,1.862395750799e-01,-1.956492439582e-02
"                  87",-4.735618532486e+01,-2.340403268754e+02,8.345796432858e+00,-4.912563558793e+01,-2.338536528704e+02,8.326246298060e+00,-1.769450263074e+00,1.866740049825e-01,-1.955013479795e-02
"                  88",-4.720555159068e+01,-2.323131789936e+02,8.411964008737e+00,-4.897709227175e+01,-2.321258903876e+02,8.392467218354e+00,-1.771540681071e+00,1.872886060321e-01,-1.949679038282e-02
"                  89",-4.707919730580e+01,-2.307217583466e+02,8.448139745733e+00,-4.885230796162e+01,-2.305338843280e+02,8.428782421122e+00,-1.773110655817e+00,1.878740186500e-01,-1.935732461141e-02
"                  90",-4.700073939036e+01,-2.293908539071e+02,8.443076619425e+00,-4.877586359150e+01,-2.292021093452e+02,8.423582550228e+00,-1.775124201134e+00,1.887445618445e-01,-1.949406919738e-02
"                  91",-4.696870830604e+01,-2.283881301942e+02,8.402421928207e+00,-4.874524577789e+01,-2.281987554547e+02,8.383081019620e+00,-1.776537471854e+00,1.893747394329e-01,-1.934090858659e-02
"                  92",-4.695878443097e+01,-2.276447633170e+02,8.335324521314e+00,-4.873684157205e+01,-2.274546783555e+02,8.315993338007e+00,-1.778057141082e+00,1.900849615190e-01,-1.933118330705e-02
"                  93",-4.695386584489e+01,-2.270982880367e+02,8.247924866340e+00,-4.873334816498e+01,-2.269074745068e+02,8.228565273509e+00,-1.779482320087e+00,1.908135298538e-01,-1.935959283137e-02
